id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2024-4089,2024-05-24,000001,Vente,160000,17,,RUE GEORGES CHARPAK,0361,01170,01173,Gex,01,,,01173000AD0044,,,49,,59,62.49,,,,,,,2,3,Dépendance,,0,,,,,,6.066537,46.337657
2024-4114,2024-05-28,000001,Vente,208000,3,,RUE DE LA FONTAINE,0300,01170,01173,Gex,01,,,01173000AI0603,,,17,52.01,,,,,,,,,1,2,Appartement,51,2,,,,,,6.057101,46.334376
2024-4114,2024-05-28,000001,Vente,208000,3,,RUE DE LA FONTAINE,0300,01170,01173,Gex,01,,,01173000AI0603,,,4,,,,,,,,,,1,3,Dépendance,,0,,,,,,6.057101,46.334376
2024-4114,2024-05-28,000001,Vente,208000,3,,RUE DE LA FONTAINE,0300,01170,01173,Gex,01,,,01173000AI0603,,,3,,,,,,,,,,1,3,Dépendance,,0,,,,,,6.057101,46.334376
2024-4143,2024-05-15,000001,Vente,163500,48,,IMP DU BAILLIAGE,1060,01170,01173,Gex,01,,,01173000AM0301,,,10,,3,31.84,,,,,,,2,3,Dépendance,,0,,,,,,6.056011,46.325406
2024-4143,2024-05-15,000001,Vente,163500,48,,IMP DU BAILLIAGE,1060,01170,01173,Gex,01,,,01173000AM0301,,,10,,3,31.84,,,,,,,2,2,Appartement,32,1,,,,,,6.056011,46.325406
2024-4143,2024-05-15,000001,Vente,163500,48,,IMP DU BAILLIAGE,1060,01170,01173,Gex,01,,,01173000AM0301,,,102,,,,,,,,,,1,3,Dépendance,,0,,,,,,6.056011,46.325406
2024-4144,2024-05-15,000001,Vente,590000,550,,AV DES TILLEULS,0700,01170,01173,Gex,01,,,01173000AI0220,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,50,6.058249,46.335329
2024-4144,2024-05-15,000001,Vente,590000,550,,AV DES TILLEULS,0700,01170,01173,Gex,01,,,01173000AI0220,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,50,6.058249,46.335329
2024-4144,2024-05-15,000001,Vente,590000,550,,AV DES TILLEULS,0700,01170,01173,Gex,01,,,01173000AI0220,,,,,,,,,,,,,0,1,Maison,112,5,S,sols,,,50,6.058249,46.335329
